id,name,acronym,red,green,blue,structure_order,parent_id,parent_acronym,collapse
0,background,background,0,0,0,0,,,
997,root,root,255,255,255,0,,,
8,Basic cell groups and regions,grey,176,255,255,100,997,root,
567,Cerebrum,CH,176,240,255,200,8,grey,
688,Cerebral cortex,CTX,176,255,184,300,567,CH,
695,Cortical plate,CTXpl,112,255,112,400,688,CTX,
315,Isocortex,Isocortex,112,255,113,500,695,CTXpl,x
184,Frontal association cortex,FrA,112,255,113,600,315,Isocortex,
68,"Frontal pole, layer 1",FrA-1,121,161,59,700,184,FrA,
667,"Frontal pole, layer 2/3",FrA-2/3,132,165,74,800,184,FrA,
2325,"Frontal pole, layer 5",FrA-5,132,165,74,810,184,FrA,
500,motor cortex,M,112,255,116,900,315,Isocortex,
985,Primary motor cortex,M1,112,255,116,1500,500,M,
320,"Primary motor cortex, layer 1",M1-1,112,255,116,1510,985,M1,
943,"Primary motor cortex, layer 2/3",M1-2/3,112,255,116,1520,985,M1,
648,"Primary motor cortex, layer 5",M1-5,112,255,116,1530,985,M1,
844,"Primary motor cortex, layer 6a",M1-6a,112,255,116,1540,985,M1,
882,"Primary motor cortex, layer 6b",M1-6b,112,255,116,1540,985,M1,
2017,"Frontal cortex, area 3",FrC3,132,165,74,2010,985,M1,
2334,"Frontal cortex, area 3, layer1",FrC3-1,132,165,74,2020,2017,FrC3,
2335,"Frontal cortex, area 3, layer2/3",FrC3-2/3,132,165,74,2020,2017,FrC3,
2336,"Frontal cortex, area 3, layer5",FrC3-5,132,165,74,2040,2017,FrC3,
2337,"Frontal cortex, area 3, layer6a",FrC3-6a,132,165,74,2050,2017,FrC3,
2351,"Frontal cortex, area 3, layer6b",FrC3-6b,132,165,74,2060,2017,FrC3,
993,Secondary motor cortex,M2,112,255,116,2100,500,M,
656,"Secondary motor cortex, layer 1",M2-1,63,147,68,2200,993,M2,
962,"Secondary motor cortex, layer 2/3",M2-2/3,83,152,86,2300,993,M2,
767,"Secondary motor cortex, layer 5",M2-5,101,157,97,2400,993,M2,
1021,"Secondary motor cortex, layer 6a",M2-6a,129,174,115,2500,993,M2,
1085,"Secondary motor cortex, layer 6b",M2-6b,139,178,127,2600,993,M2,
453,Somatosensory cortex,S,112,255,121,2700,315,Isocortex,
322,Primary somatosensory cortex,S1,112,255,121,2800,453,S,
2338,"Primary somatosensory area, jaw",S1J,163,213,170,3410,322,S1,
2339,"Primary somatosensory area, jaw, layer 1",S1J-1,163,213,170,3420,2338,S1J,
2340,"Primary somatosensory area, jaw, layer 2/3",S1J-2/3,163,213,170,3430,2338,S1J,
2341,"Primary somatosensory area, jaw, layer 4",S1J-4,163,213,170,3440,2338,S1J,
2342,"Primary somatosensory area, jaw, layer 5",S1J-5,163,213,170,3450,2338,S1J,
2343,"Primary somatosensory area, jaw, layer 6a",S1J-6a,163,213,170,3460,2338,S1J,
2344,"Primary somatosensory area, jaw, layer 6b",S1J-6b,163,213,170,3470,2338,S1J,
793,"Primary somatosensory area, undefined, layer 1",S1-1,0,177,92,2900,322,S1,
346,"Primary somatosensory area, undefined, layer 2/3",S1-2/3,67,185,112,3000,793,S1-1,
865,"Primary somatosensory area, undefined, layer 4",S1-4,93,191,126,3100,793,S1-1,
921,"Primary somatosensory area, undefined, layer 5",S1-5,116,197,139,3200,793,S1-1,
686,"Primary somatosensory area, undefined, layer 6a",S1-6a,138,204,153,3300,793,S1-1,
719,"Primary somatosensory area,, undefined, layer 6b",S1-6b,163,213,170,3400,793,S1-1,
329,"Primary somatosensory cortex, barrel field",S1BF,112,255,121,4200,322,S1,
981,"Primary somatosensory cortex, barrel field, layer 1",S1BF-1,0,178,156,4300,329,S1BF,
201,"Primary somatosensory cortex, barrel field, layer 2/3",S1BF-2/3,19,186,171,4400,329,S1BF,
1047,"Primary somatosensory cortex, barrel field, layer 4",S1BF-4,66,191,179,4500,329,S1BF,
1070,"Primary somatosensory cortex, barrel field, layer 5 ",S1BF-5,93,197,188,4600,329,S1BF,
1038,"Primary somatosensory cortex, barrel field, layer 6a",S1BF-6a,117,203,197,4700,329,S1BF,
1062,"Primary somatosensory cortex, barrel field, layer 6b",S1BF-6b,143,211,208,4800,329,S1BF,
337,"Primary somatosensory cortex, hindlimb region",S1HL,112,255,121,4900,322,S1,
1030,"Primary somatosensory cortex, hindlimb region, layer 1",S1HL-1,0,177,142,5000,337,S1HL,
113,"Primary somatosensory cortex, hindlimb region, layer 2/3",S1HL-2/3,0,183,155,5100,337,S1HL,
1094,"Primary somatosensory cortex, hindlimb region, layer 4",S1HL-4,69,191,171,5200,337,S1HL,
1128,"Primary somatosensory cortex, hindlimb region, layer 5",S1HL-5,96,196,179,5300,337,S1HL,
478,"Primary somatosensory cortex, hindlimb region, layer 6a",S1HL-6a,119,202,188,5400,337,S1HL,
510,"Primary somatosensory cortex, hindlimb region, layer 6b",S1HL-6b,145,211,198,5500,337,S1HL,
345,"Primary somatosensory cortex, upper lip region",S1ULp,112,255,121,5600,322,S1,
878,"Primary somatosensory cortex, upper lip region, layer 1",S1ULp-1,0,173,94,5700,345,S1ULp,
657,"Primary somatosensory cortex, upper lip region, layer 2/3",S1ULp-2/3,20,180,107,5800,345,S1ULp,
950,"Primary somatosensory cortex, upper lip region, layer 4",S1ULp-4,66,185,120,5900,345,S1ULp,
974,"Primary somatosensory cortex, upper lip region, layer 5",S1ULp-5,92,191,133,6000,345,S1ULp,
1102,"Primary somatosensory cortex, upper lip region, layer 6a",S1ULp-6a,115,197,146,6100,345,S1ULp,
2,"Primary somatosensory cortex, upper lip region, layer 6b",S1ULp-6b,137,205,161,6200,345,S1ULp,
2000,"Primary somatosensory cortex, dysgranular zone ",S1DZ,112,255,121,6210,322,S1,
2287,"Primary somatosensory cortex, dysgranular zone 1",S1DZ-1,112,255,121,6211,2000,S1DZ,
2288,"Primary somatosensory cortex, dysgranular zone 2/3",S1DZ-2/3,112,255,121,6212,2000,S1DZ,
2289,"Primary somatosensory cortex, dysgranular zone 4",S1DZ-4,112,255,121,6213,2000,S1DZ,
2290,"Primary somatosensory cortex, dysgranular zone 5",S1DZ-5,112,255,121,6214,2000,S1DZ,
2291,"Primary somatosensory cortex, dysgranular zone 6a",S1DZ-6a,112,255,121,6215,2000,S1DZ,
2292,"Primary somatosensory cortex, dysgranular zone 6b",S1DZ-6b,112,255,121,6216,2000,S1DZ,
2352,"Primary somatosensory cortex, oral dysgranular zone ",S1DZO,112,255,121,6220,322,S1,
2353,"Primary somatosensory cortex, oral dysgranular zone 1",S1DZO-1,112,255,121,6221,2352,S1DZO,
2354,"Primary somatosensory cortex, oral dysgranular zone 2/3",S1DZO-2/3,112,255,121,6222,2352,S1DZO,
2355,"Primary somatosensory cortex, oral dysgranular zone 4",S1DZO-4,112,255,121,6223,2352,S1DZO,
2356,"Primary somatosensory cortex, oral dysgranular zone 5",S1DZO-5,112,255,121,6224,2352,S1DZO,
2357,"Primary somatosensory cortex, oral dysgranular zone 6a",S1DZO-6a,112,255,121,6225,2352,S1DZO,
2358,"Primary somatosensory cortex, oral dysgranular zone 6b",S1DZO-6b,112,255,121,6226,2352,S1DZO,
2041,"Primary somatosensory cortex, shoulder region",S1Sh,112,255,121,6230,322,S1,
2310,"Primary somatosensory cortex, shoulder region 1",S1Sh-1,112,255,121,6231,2041,S1Sh,
2311,"Primary somatosensory cortex, shoulder region 2/3",S1Sh-2/3,112,255,121,6232,2041,S1Sh,
